CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ	id	max_chemdir	max_comparison	sign_chemdir	CLUSTERID1_chemdir	CLUSTERID2_chemdir
67	569	17	0.8993	-0.000	186	0.24329007176059458	Pre-HV:Post-HV	-1.0	67	569
67	684	17	0.8265	-58.042	187	0.3339626941949574	Pre-HV:Post-HV	-1.0	67	684
67	70	17	1.0	0.000	188	0.004305726934759959	Pre-HV:Post-HV	1.0	70	67
67	75	17	0.8836	0.000	189	0.07123511413153426	Pre-HV:Post-HV	-1.0	67	75
68	276	27	0.761	0.000	190	0.1096181245213984	Pre-HV:Post-HV	1.0	276	68
68	430	27	0.8286	0.000	191	0.18047249525508186	Pre-HV:Post-HV	1.0	430	68
68	566	27	0.7685	-0.000	192	0.28097219566633574	Pre-HV:Post-HV	1.0	566	68
68	667	27	0.838	-0.000	193	0.36629511935022824	Pre-HV:Post-HV	1.0	667	68
68	669	27	0.8467	-0.000	194	0.36178930751835386	Pre-HV:Post-HV	1.0	669	68
68	739	27	0.8666	-0.000	195	0.5452913824099599	Pre-HV:Post-HV	1.0	739	68
69	287	19	0.7982	0.000	196	0.2625730992165834	Pre-HV:Post-HV	-1.0	69	287
69	427	19	0.8565	0.000	197	0.72638135994328	Pre-HV:Post-HV	-1.0	69	427
69	428	19	0.8379	0.000	198	0.004159159373917293	Pre-HV:Post-HV	1.0	428	69
69	431	19	0.8796	-0.000	199	0.06389963373651819	Pre-HV:Post-HV	-1.0	69	431
69	565	19	0.8797	-0.000	200	0.03367467272657986	Pre-HV:Post-HV	1.0	565	69
69	702	19	0.8407	-0.000	201	0.13061021391386798	Pre-HV:Post-HV	1.0	702	69
69	726	19	0.8797	-0.000	202	0.016638818988704642	Pre-HV:Post-HV	-1.0	69	726
69	775	19	0.8894	-0.000	203	0.02124394876620112	Pre-HV:Post-HV	-1.0	69	775
70	101	17	0.8455	-58.042	204	0.10020449828406965	Pre-HV:Post-HV	-1.0	70	101
70	434	17	0.8519	-0.000	205	0.042227193242262526	Pre-HV:Post-HV	1.0	434	70
70	435	17	0.9222	-0.000	206	0.18636200133583095	Pre-HV:Post-HV	-1.0	70	435
70	436	17	0.8293	-0.000	207	0.15513678178031157	Pre-HV:Post-HV	1.0	436	70
70	437	17	0.8993	-0.000	208	0.18436328017369408	Pre-HV:Post-HV	1.0	437	70
70	448	17	0.8542	-58.042	209	0.08759705532929558	Pre-HV:Post-HV	1.0	448	70
70	569	17	0.8993	-0.000	210	0.24759579869535453	Pre-HV:Post-HV	-1.0	70	569
70	684	17	0.8265	-58.042	211	0.33826842112971733	Pre-HV:Post-HV	-1.0	70	684
70	75	17	0.8836	0.000	212	0.07554084106629426	Pre-HV:Post-HV	-1.0	70	75
71	189	2	0.9356	0.000	213	0.8492499869937441	Pre-HV:Post-HV	-1.0	71	189
71	288	2	1.0	-0.000	214	0.5193921970103695	Pre-HV:Post-HV	-1.0	71	288
71	344	2	0.9464	0.000	215	0.5503321899665782	Pre-HV:Post-HV	-1.0	71	344
71	409	2	0.9524	-0.000	216	0.43425572676986623	Pre-HV:Post-HV	-1.0	71	409
71	410	2	0.9157	-0.000	217	0.5435986810634028	Pre-HV:Post-HV	-1.0	71	410
71	411	2	0.9121	0.000	218	0.620914690581985	Pre-HV:Post-HV	-1.0	71	411
71	420	2	0.9117	-58.042	219	1.0199245544926103	Pre-HV:Post-HV	-1.0	71	420
71	682	2	0.9117	-58.042	220	0.8185140073392682	Pre-HV:Post-HV	-1.0	71	682
71	74	2	0.9209	-58.041	221	0.42880068695732254	Pre-HV:Post-HV	-1.0	71	74
71	772	2	0.9117	-58.042	222	0.40461461713034447	Pre-HV:Post-HV	-1.0	71	772
72	335	5	0.6859	-259.944	223	0.1369016846412461	Pre-HV:Post-HV	-1.0	72	335
72	514	5	0.7272	-390.445	224	0.09305448041579134	Pre-HV:Post-HV	-1.0	72	514
72	77	5	0.9253	0.000	225	0.06283421559742017	Pre-HV:Post-HV	-1.0	72	77
74	189	2	0.9211	58.041	226	0.42044930003642145	Pre-HV:Post-HV	-1.0	74	189
74	288	2	0.9209	58.041	227	0.09059151005304683	Pre-HV:Post-HV	-1.0	74	288
74	344	2	0.9228	58.041	228	0.12153150300925558	Pre-HV:Post-HV	-1.0	74	344
74	409	2	0.9208	58.041	229	0.005455039812543633	Pre-HV:Post-HV	-1.0	74	409
74	420	2	0.9068	-0.000	230	0.5911238675352877	Pre-HV:Post-HV	-1.0	74	420
74	463	2	0.9077	-56.027	231	0.402714104864291	Pre-HV:Post-HV	-1.0	74	463
74	682	2	0.9068	-0.000	232	0.3897133203819456	Pre-HV:Post-HV	-1.0	74	682
74	763	2	0.9204	58.041	233	0.4643770123069353	Pre-HV:Post-HV	-1.0	74	763
74	772	2	0.9068	-0.000	234	0.02418606982697814	Pre-HV:Post-HV	1.0	772	74
75	434	17	0.8747	-0.000	235	0.11776803430855674	Pre-HV:Post-HV	1.0	434	75
75	435	17	0.9043	-0.000	236	0.11082116026953671	Pre-HV:Post-HV	-1.0	75	435
75	436	17	0.8463	-0.000	237	0.23067762284660573	Pre-HV:Post-HV	1.0	436	75
75	437	17	0.883	-0.000	238	0.2599041212399884	Pre-HV:Post-HV	1.0	437	75
