CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ	id	max_chemdir	max_comparison	sign_chemdir	CLUSTERID1_chemdir	CLUSTERID2_chemdir
93	469	2	0.8819	-58.042	271	0.1675910759670988	Pre-P:Post-P	1.0	469	93
93	472	2	0.8819	-58.041	272	0.05328234191724811	Pre-P:Post-P	1.0	472	93
93	757	2	0.8796	-0.001	273	0.10819043554401268	Pre-P:Post-P	1.0	757	93
94	219	29	0.9272	-0.003	274	0.6165681713536316	Pre-P:Post-P	-1.0	94	219
94	229	29	0.6727	-47.981	275	0.7607589166412416	Pre-P:Post-P	1.0	229	94
94	250	29	0.6693	-47.981	276	0.46234655326549057	Pre-P:Post-P	1.0	250	94
94	522	29	0.6598	-61.999	277	0.46234655326549057	Pre-P:Post-P	1.0	522	94
94	526	29	0.9367	-14.013	278	0.29703114938815167	Pre-P:Post-P	1.0	526	94
94	527	29	0.9435	-14.013	279	0.23949308305789588	Pre-P:Post-P	-1.0	94	527
94	531	29	0.9449	-14.011	280	0.46234655326549057	Pre-P:Post-P	1.0	531	94
94	733	29	0.8732	2.018	281	0.4191684271175139	Pre-P:Post-P	1.0	733	94
94	749	29	0.7699	2.015	282	0.46234655326549057	Pre-P:Post-P	1.0	749	94
95	103	2	0.8943	-0.000	283	0.1210551066892602	Pre-P:Post-P	-1.0	95	103
95	118	2	0.8921	-0.000	284	0.23819013651939452	Pre-P:Post-P	-1.0	95	118
95	268	2	0.8782	-0.000	285	0.32496299478674706	Pre-P:Post-P	-1.0	95	268
95	463	2	0.8892	-0.000	286	0.1306126836625658	Pre-P:Post-P	-1.0	95	463
95	466	2	0.9084	-0.001	287	0.3242264849819544	Pre-P:Post-P	-1.0	95	466
95	577	2	0.8812	-0.000	288	0.12080941646631391	Pre-P:Post-P	-1.0	95	577
97	256	2	0.8963	0.000	289	0.0974508692412347	Pre-P:Post-P	-1.0	97	256
97	673	2	0.8874	-0.001	290	0.0729139568587532	Pre-P:Post-P	-1.0	97	673
97	703	2	0.8787	-0.000	291	0.028439833576486648	Pre-P:Post-P	1.0	703	97
100	458	3	0.8329	-0.000	292	0.07127744102064529	Pre-P:Post-P	-1.0	100	458
101	448	17	0.8857	-0.000	293	0.046907312205737677	Pre-P:Post-P	1.0	448	101
101	575	17	0.8445	-0.000	294	0.11997697108808095	Pre-P:Post-P	1.0	575	101
101	684	17	0.8583	-0.000	295	0.008041868883767893	Pre-P:Post-P	-1.0	101	684
