row ID	s3_repeat_BB7_01_51502.mzXML Peak area	s48_BD12_01_51107.mzXML Peak area	s47_repeat_BB5_01_51298.mzXML Peak area	s53_repeat_BB10_01_51504.mzXML Peak area	s52_BC9_01_51216.mzXML Peak area	s60_BE12_01_51130.mzXML Peak area	s61_repeat_BC10_01_51509.mzXML Peak area	s68_BA11_01_51029.mzXML Peak area	s67b_BB6_01_51043.mzXML Peak area	s73_BD8_01_51099.mzXML Peak area	s72_BD4_01_51091.mzXML Peak area	s77_BB8_01_51188.mzXML Peak area	s78_rerun_BC12_01_51132.mzXML Peak area	s83_BD3_01_51089.mzXML Peak area	s82_BD10_01_51103.mzXML Peak area	s86_BB11_01_51054.mzXML Peak area	s7_BB6_01_51183.mzXML Peak area	s8_repeat_BD6_01_51285.mzXML Peak area	s103_rerun_BC8_01_51134.mzXML Peak area	s102_BB8_01_51048.mzXML Peak area	s91_BA11_01_51168.mzXML Peak area	s90_BA10_01_51027.mzXML Peak area	s95_repeat_RA3_01_51493.mzXML Peak area	s94_BA4_01_51015.mzXML Peak area	s12_BC6_01_51209.mzXML Peak area	s13_repeat_BE4_01_51280.mzXML Peak area	s18_BG7_01_51491.mzXML Peak area	s17_BA6_01_51019.mzXML Peak area	s113_rerun_BA4_01_51154.mzXML Peak area	s112_repeat_BB9_01_51300.mzXML Peak area	s23_repeat_BD5_01_51511.mzXML Peak area	s22_BC4_01_51065.mzXML Peak area	s27_BE5_01_51263.mzXML Peak area	s28_BE4_01_51115.mzXML Peak area	s32_BB9_01_51050.mzXML Peak area	s33_repeat_BE7_01_51515.mzXML Peak area	s38_BE5_01_51117.mzXML Peak area	s37_BA5_01_51017.mzXML Peak area	s43_BE10_01_51125.mzXML Peak area	s42_BB3_01_51037.mzXML Peak area
209	20476.1695	20799.3000000005	30356.3575000001	22520.284	9106.62049999994	17833.1394999995	27823.2705	13713.2919999999	14458.501	17859.5999999999	51810.8895	24735.6134999994	31811.0799999997	4853.48000000009	8594.13700000006	20939.455	25718.5085000001	18832.644	17674.515	10530.973	37043.031	9654.00300000012	603034.9535	13691.817	23666.442	31660.424	50515.9845000001	24087.4220000001	8695.10099999997	20460.2970000002	197050.689500001	34998.3644999994	31035.883	22834.3330000002	23587.7005	29415.3425	17368.036	15475.4955000001	17030.3650000002	17912.8999999999
210	144209.738000001	185088.222499999	150207.012999999	93606.5545000003	42740.4329999993	127439.7205	50813.7599999994	100640.7145	158628.148	83847.9914999994	42071.851	43048.241	102955.016500001	126046.7705	128163.221500001	119804.637499999	43897.7585000006	163838.8345	21129.2540000002	144986.229500001	185469.734499999	81617.8899999994	52992.4765000003	117188.624000001	107048.458500001	155027.128000001	179000.808000002	159719.466999999	83003.3965000006	153934.5905	162362.178499999	104724.122999999	21895.4059999996	128175.4015	42829.7695000011	121381.667000001	63723.761	43339.0565000006	105785.089000001	98504.1159999998
211	9833.46899999997	1700.07699999999	467.522999999996	1154.53100000001	0	404.585999999998	3903.94499999999	9785.59049999997	4601.88399999993	7137.01949999996	5299.10749999997	58517.0875000001	299772.841	8199.61449999998	1602.88800000001	952128.906	762.608999999998	5619.00250000004	13705.2700000001	7795.39750000004	10981.0475	288.815999999998	63404.6854999995	1303.185	15517.7755	9004.11999999998	9338.35549999996	1348.04999999999	7663.7200000002	2245.82300000001	10117.0270000001	2690.0995	27583.9789999998	9090.24000000003	690.689999999998	2313.52550000003	562.941999999991	1068.898	6194.32949999995	5056.90399999999
213	195974.601999999	18859.8679999995	94879.6985000007	339078.979000002	34859.3520000002	205968.615999999	321704.8105	17380.0290000006	101106.7895	17281.4999999999	137952.922	116241.745999999	182952.523500001	102790.33	222372.696	16846.8300000003	87168.6175000012	195028.2855	35998.8134999992	34445.9500000006	100579.6875	17941.5199999994	77181.7270000002	194722.572999999	34924.3350000006	155402.726	203168.338500001	17856.6524999999	36833.403	215771.479500001	222773.824000001	18393.5674999998	19664.9669999997	249236.678999999	33997.3860000003	97992.3305000003	53649.5825000009	18633.2630000003	188820.977999999	88709.5159999999
214	6976.8925	4207.57349999997	4216.30099999999	2587.53700000001	1402.26850000002	396.395999999998	7133.08800000003	7487.49549999998	17732.2400000001	5762.56350000001	5582.83300000004	49600.1005000001	272514.3825	7533.71299999999	1497.69900000001	572417.099000006	4447.57450000001	4552.49700000004	13191.3800000001	5408.03950000004	5136.0875	3974.37799999998	147065.006000001	1613.53350000001	13727.0545	20234.197	14946.1684999999	7165.17199999998	10939.19	1192.617	26300.1404999997	1878.2125	33564.6604999998	8447.23200000003	4420.48100000001	8424.86	4339.097	4747.3445	3637.58450000002	5580.31799999996
215	26538.8934999999	94882.2415000002	14896.6384999998	44660.575	46667.8724999998	25466.4610000001	23983.2245	17802.7255	38200.391	36321.2465000001	52637.4770000001	67318.0654999999	65231.0825	28391.8165000001	77070.3785	16681.3054999998	5646.83800000016	8000.73999999997	57048.7420000001	27301.5725000001	68762.5940000002	50752.8070000002	21824.8050000002	43495.4084999997	70883.3140000001	32995.1285000002	13615.2835	42358.8805	53548.9285000002	19007.401	19017.92	52494.501	167727.118000001	69963.8464999999	81447.803	39707.5615000001	33975.3365	42010.0354999999	80620.4240000001	45508.8800000002
216	31845.8780000005	53547.3984999999	7663.11799999988	12875.6399999999	4274.40799999997	4403.8385	0	27840.0930000005	30230.9399999997	60336.4219999997	1040.765	0	2942.0255	93496.5030000001	41911.9180000001	10860.0140000001	33931.8149999995	0	1861.56499999998	0	32591.5740000005	37284.6800000005	48805.0729999998	5138.86799999986	40356.1575000002	971469.2675	2114.42100000004	10922.1489999999	4275.45300000004	61857.8990000013	0	1713.29349999997	88310.3635	1708.11799999996	4291.45049999999	28745.7419999993	43750.9154999997	0	35675.3029999996	912.330000000015
217	15412.7610000003	54016.5590000002	7663.11799999988	25219.0575000007	4274.40799999997	4997.97249999997	576753.901000003	55239.2475	43741.3455000005	61451.5169999996	1290.28650000001	0	3648.98899999995	63267.578	183364.553500001	22173.8965000003	33413.5620000007	0	2144.26899999997	0	31607.6479999995	56367.3004999999	48805.0729999998	15376.6365	31261.9504999997	397603.125999999	2114.42100000004	9716.37299999999	8082.52449999998	88177.1605000007	0	2079.72549999999	118120.441	3591.13399999998	4291.45049999999	98776.4324999999	59060.9475000003	714196.863499998	53602.5815000003	2688.91399999998
218	65838.0924999998	63259.7504999996	44756.9044999997	64065.2240000003	12468.0240000002	43108.2165000003	11532.2460000001	27727.3125000004	78782.1965000012	66179.1339999998	33970.0555000002	52758.7955000004	2369.40599999999	41863.2030000003	44389.3920000005	37123.3369999997	2727.44600000002	43129.2529999994	1345.619	14925.3569999998	56427.5649999997	52139.1665000004	3771.82399999996	0	37590.3504999999	51735.0150000006	3561.14999999992	21836.7550000003	30872.7495000001	11062.7024999999	75853.4135000003	9731.4839999997	11226.6544999999	35148.9854999998	18727.3624999997	10090.4014999999	5166.757	14372.8599999999	17018.4450000001	1761.925
219	32994.0099999995	14514.7124999999	0	0	0	0	0	17766.3609999999	35852.0305	30073.0674999997	10463.3759999997	32774.5495000006	0	32980.0664999999	19893.6330000001	139513.507000001	37861.8595000001	11415.6165000005	10102.8445000001	0	0	0	0	0	0	0	10864.4085000002	10286.0799999999	34794.06	22583.6769999998	0	25451.7419999999	24832.2740000003	11190.24	13341.6099999994	0	11200.5674999999	37409.7244999996	9189.17999999981	10643.6660000003
220	93697.9400000003	50209.0754999998	32945.1534999998	317214.467499999	8679.9609999998	20742.498	11532.2460000001	26354.5265000001	51737.8685000007	49392.0065000003	22850.1504999999	38291.5115000002	5817.32449999997	30100.2779999998	31892.8355000004	62169.7520000002	0	170097.3795	1345.619	14925.3569999998	129670.152	21423.7924999999	1902.29849999998	2381.27999999997	17446.2769999999	29917.1424999999	11726.3159999999	11133.4860000002	23734.9155	7572.94349999986	13657.0840000002	12876.3474999997	6875.09199999988	82476.3715	28806.271	22310.7844999999	9266.74899999988	12120.0139999996	16332.9905000002	4733.54899999999
222	58326.0590000002	23033.5169999995	24814.5300000002	46462.5999999997	13306.4774999998	30160.3444999998	164873.3545	105556.656499999	34145.8984999993	89006.2415000005	45013.6140000003	161560.8335	5830.75650000001	20366.8120000004	23995.5170000001	41802.4660000003	4586.92050000003	17552.4750000002	1333.33200000006	122589.395	36326.5230000011	9428.18000000008	0	0	15190.4310000004	88592.9245000003	5479.48049999991	55405.9345000003	12950.9995000003	13591.3505000003	121122.249	27537.2399999999	14424.2209999998	50754.8965000001	19920.9750000004	7995.81949999992	11946.349	58012.5150000005	146294.169	1789.78800000006
224	33323.733	96847.5489999997	46005.1050000001	44044.1959999994	85795.7975000002	32980.8010000002	46345.4914999995	18504.096	48315.273	89118.9989999994	64530.969	17385.8475000001	48726.0760000001	31370.5545000003	23007.9489999999	28651.7139999992	22545.2480000007	32212.3064999998	59379.316	76860.8670000004	46765.072	61240.0770000007	32734.2120000004	53094.1929999994	11694.5009999994	70337.4784999999	30316.2325000002	19189.3495000003	17898.6600000005	62084.6275	48439.5374999995	90503.4099999998	25701.3760000004	86427.9049999998	31979.2950000002	45991.2035000002	11607.9360000001	26750.4580000001	77424.2655000005	21308.5199999997
225	85582.0839999998	10848.3790000003	30816.721	164636.753	19221.703	34549.1335	41205.4294999999	24476.819	16420.1309999992	11384.1749999998	0	11088.4259999999	5817.32449999997	9862.3980000002	11806.1619999995	46056.5454999998	2168.08000000011	128826.494	1306.83150000001	35097.3170000001	15924.285	29744.9170000001	1902.29849999998	2381.27999999997	15367.2240000002	24033.7600000002	11726.3159999999	43700.5335000001	8489.53199999994	4759.38399999994	10212.3294999995	11369.5025	4263.42900000002	154644.7965	11076.318	11559.295	4683.64599999999	10385.7930000002	7340.63999999994	4733.54899999999
229	461038.176999997	101883.8795	62038.0520000005	295733.048999997	10035.2239999999	18776.6869999998	65211.2970000001	8132.62	18802.3694999999	88250.9014999996	26411.1284999999	6381.71049999996	49106.4790000007	23083.3369999999	23717.313	28430.1179999999	27132.3564999998	42397.9854999999	120834.996	4774.02450000005	10818.2925	12895.4554999999	827096.7295	36212.8970000004	11381.6265	61598.3165000005	35757.3644999999	11614.203	78302.8699999992	34855.6399999999	294228.475	34485.5570000004	58014.4449999995	53644.8869999996	25066.0495000003	83109.8750000009	75729.2120000002	9295.69650000004	28338.9735	19248.0219999998
230	258668.947500001	168627.353999999	147505.551999999	284586.827499999	89090.3585000001	139336.854000001	184943.346000001	134092.296	109781.591	184285.576999999	142935.247	125032.5885	151958.3115	133000.8325	140180.635	93525.1700000002	120193.544	125718.9615	159949.476	100965.4955	149778.655	140190.3895	3781698.01350001	173869.7025	88914.7355000002	134386.662	480925.664500001	178690.4055	172078.7585	176471.4785	209201.4775	75935.1510000001	176676.116	197276.198000001	119347.582	194760.519000001	196849.716000001	190428.514500001	134034.233000001	136744.680499999
231	344691.883000003	11288.7665	24972.5939999999	10400.0514999999	3081.19799999997	2900.79450000003	33837.6655000001	86769.4150000005	10807.7255	76164.9920000004	49317.6925	2244.338	17826.7405	96098.2929999995	13399.3435000002	119343.094500001	22977.4134999998	132386.5055	57632.7549999998	20438.6809999998	62062.1500000006	5962.13199999995	209347.725999999	3620.24549999992	33576.1925000002	76432.3480000004	202967.660999999	18792.0605000001	72407.5310000001	19490.7515	242901.601499999	43102.0629999998	35632.6739999996	68626.6499999997	5976.83649999999	37375.7995	11834.7669999998	23643.3415000001	27287.0799999999	9547.06100000009
234	322595.6655	94945.5210000006	229396.431999999	422321.694500001	147033.051000001	337365.902999999	365354.741000001	227427.347500001	97473.5440000009	199627.0735	96930.0830000004	149517.909499998	153915.247500002	191641.522000001	147628.056999999	141715.529000001	148488.604500002	274882.7515	96095.4000000011	246105.780000002	97636.7594999997	230712.7125	381296.088999994	134126.134999999	149202.625499998	359745.127000001	0	145382.490499999	102711.268500003	170304.159000002	76798.6380000002	150492.165000003	156070.420999999	199364.597499999	95790.1829999977	272952.985499999	467362.086499999	96726.0459999981	300114.628499999	97045.9830000004
