row ID	s47_repeat_BB5_01_51298.mzXML Peak area	s52_BC9_01_51216.mzXML Peak area	s60_BE12_01_51130.mzXML Peak area	s67b_BB6_01_51043.mzXML Peak area	s72_BD4_01_51091.mzXML Peak area	s77_BB8_01_51188.mzXML Peak area	s82_BD10_01_51103.mzXML Peak area	s86_BB11_01_51054.mzXML Peak area	s7_BB6_01_51183.mzXML Peak area	s102_BB8_01_51048.mzXML Peak area	s90_BA10_01_51027.mzXML Peak area	s94_BA4_01_51015.mzXML Peak area	s12_BC6_01_51209.mzXML Peak area	s17_BA6_01_51019.mzXML Peak area	s112_repeat_BB9_01_51300.mzXML Peak area	s22_BC4_01_51065.mzXML Peak area	s27_BE5_01_51263.mzXML Peak area	s32_BB9_01_51050.mzXML Peak area	s37_BA5_01_51017.mzXML Peak area	s42_BB3_01_51037.mzXML Peak area
366	11862.9399999999	12348.9550000001	213.459999999999	85959.4635000001	12795.8540000002	22217.1410000001	20573.56	12701.8	79569.677	27835.2135000001	9113.67449999995	2234.16400000001	21596.9654999999	53492.0620000002	29041.724	189067.168	2664.23350000004	21855.4995000001	58986.1665000001	12364.848
367	3733.75449999995	8233.75250000004	15106.6104999999	0	871.013999999954	0	0	1782.69499999999	7239.45750000009	0	2273.98650000002	0	0	0	0	1435.10799999999	4731.00300000004	4714.59299999988	0	20191.2734999999
368	1921.58899999999	4195.9240000002	14410.6275	0	4649.71899999994	0	0	0	3906.31799999998	0	2612.862	1167.28700000002	0	0	0	1212.77200000004	0	8276.43650000005	0	20463.5480000003
371	99777.0984999997	25522.4174999998	7077.56999999995	7037.67500000007	19052.7470000001	26530.5099999999	56216.391	2943.95399999993	17592.7964999999	7483.60900000003	27880.5140000003	24912.0539999997	25239.9085	13609.982	61858.3269999998	12443.1780000001	82265.4160000004	49323.87	16850.1075000002	19998.337
372	353136.986500001	53693.5669999999	1176.38800000006	75198.846	11630.483	13383.1245	25841.5704999997	11938.2545000001	34935.5749999998	5946.10099999998	18423.8109999999	1278.10650000002	22256.4294999998	87648.6390000001	116366.114	62147.555	5467.91000000012	16258.5885000001	10496.2230000001	30875.0195
375	31679.7310000006	45711.7370000001	0	36553.8370000002	3071.73649999994	1090.63499999995	64512.7724999999	2352.57949999992	46138.8605000002	7735.92749999996	48099.4954999999	0	40453.2215000001	51944.5675	0	57185.5600000002	937.142999999999	13956.3579999998	18321.6625000002	9172.94299999984
376	86951.6584999992	43222.9375000003	43190.4930000002	77755.6364999994	73120.3289999998	75788.9220000001	71645.4080000006	38134.0575000001	84769.3485000006	57860.2795000002	71629.4950000003	100826.287500001	43132.6739999999	86661.2030000014	120819.4415	38669.0035000001	85412.4970000005	63779.1414999996	158781.284999999	89146.9085000005
377	637.649999999995	2444.778	2632.6565	22666.618	18536.5395	3040.246	12249.2165	1501.634	21068.461	0	40411.7545	41372.911	1844.4305	45029.962	0	2328.813	0	15872.0949999999	131912.212	28084.8345
378	4450.23650000002	303.180000000001	15096.7155000001	12525.8404999999	23436.2724999999	4410.2735	20911.0785	7265.56700000002	15849.4315	0	18196.5385	9925.61699999998	4222.46849999999	10892.8415	0	3771.18999999998	7312.89	11784.708	74177.4714999999	38013.074
379	0	7227.29649999997	764.692500000035	71392.7829999998	2874.47749999996	10631.7585000001	91621.6175000005	28380.0134999999	70196.9500000005	7249.75250000002	66561.2395000002	7327.48299999989	32612.3290000003	7791.75299999995	79087.7015000016	927.39100000002	75209.7609999993	3901.10999999994	32094.4305000004	600.057000000006
380	32037.6045000001	21716.6180000001	19224.4719999998	18929.7294999998	15897.3525000001	27887.7914999999	14905.2489999999	20257.1505000002	11526.103	16995.055	7877.24399999993	15744.2755000001	17027.3950000002	16792.4759999999	23441.53	16075.7559999999	17972.5790000001	20545.7960000001	10446.161999999	14466.6385
381	26976.93	2553.39599999999	7266.19599999994	7047.15799999999	10837.4515000001	3388.7	8989.02050000002	46403.9205	7768.63200000002	4397.84800000002	7040.13599999997	5292.52599999998	8206.90650000001	2061.86200000002	19552.4375	11212.564	27143.8305	16923.2865000001	2020.46000000002	6229.11399999994
382	6633.033	0	11080.2755000001	13353.8275000001	21870.3829999999	46710.5035000003	41517.2850000003	615307.829999996	8149.24599999996	18782.7855	7444.07500000001	0	30075.6660000001	0	9502.54199999994	18073.9765000002	23928.8529999998	7627.47500000014	7990.08000000003	9753.34599999996
383	411795.478499999	279652.373999999	131784.9025	42621.5524999988	171918.181	195522.903000001	369695.404500001	323975.962499999	197822.582	286834.1655	248745.658	104832.204500002	64936.8510000014	148056.496	315812.334	199595.157000001	48798.1194999999	210520.365000001	361802.572999999	192196.317999999
384	193202.097	143000.496499999	122416.584499999	78795.5339999999	21361.2130000007	119884.778500001	44740.5615000004	20424.0169999992	101873.994500001	99680.1104999995	137227.317000001	77651.7159999988	21479.0179999991	254859.121499999	224469.7865	41561.5824999996	171070.848999999	176084.702000001	220854.916499998	161348.291500001
386	0	719946.034999999	3845.16400000005	0	119294.943	14491.83	0	0	0	9551.75549999997	109311.573500001	0	93179.7359999998	0	0	0	0	0	14999.134	4906.96399999997
387	76013.8515000008	45120.6210000009	44536.7800000005	74337.3034999997	169041.6335	75176.0210000006	122204.6575	82966.4785000003	73666.6310000006	115046.403500002	90029.1779999997	109024.5335	45912.3640000011	179607.1885	74224.3319999989	220511.936	80102.6739999991	0	0	0
388	25026.6715000001	11828.9224999999	20158.8370000001	21131.7275	19251.416	13000.1369999999	26642.1450000001	20545.1125000001	25983.4890000001	14686.1845000001	11526.8215	39752.043	20828.8609999999	47448.8269999997	29533.8155	19056.3965	19184.6995	19734.8265	43344.7029999998	14487.01
389	5975.70650000002	8247.06200000014	3868.5240000001	6117.00199999998	6239.33549999993	5396.58200000011	15902.6695	6471.01200000004	0	7557.05600000009	8226.31800000006	3564.57700000006	5188.69199999998	10028.7680000001	3397.54349999997	8675.09499999997	0	2551.72299999999	10352.5750000001	5689.61000000011
392	637441.850000001	1239903.866	277325.314000001	155987.056	571769.711499999	607388.895499998	397021.833000001	576649.534499998	430580.318499999	341412.1675	187789.364000003	338864.312	314305.657999997	191009.975000003	351235.216499998	233550.735000001	329515.082500001	944815.589999998	157860.487000001	269473.239999997
395	546215.670500002	237192.926500002	0	2652848.986	0	362840.986499994	0	1248257.2165	123310.095000004	3657924.929	256086.477	0	615135.926499998	0	438452.718499999	5088318.52000001	0	1919228.6715	0	2318457.753
396	193392.745999996	61333.8184999986	156842.2655	54538.9924999981	57548.0330000019	57996.6820000004	237160.234500001	103766.386	150919.440500002	108581.7005	79021.8159999989	52205.4580000008	114361.921500001	53942.9809999995	203058.700000001	166756.347	0	240930.120000001	212633.8555	126801.762999999
397	855598.222500006	218188.695500001	164891.590500002	117637.370500001	71273.7490000013	218166.138500002	173353.5365	71586.7989999994	274673.5075	48215.0650000015	248582.531500001	88637.5835000004	215662.704	99081.6285000004	100637.606999998	73973.1300000005	287765.463500002	114972.3325	72254.3254999991	71892.3010000013
398	150632.423000002	439984.402499999	195017.697500001	354079.351	224995.004500001	0	402000.854500001	0	451324.667499997	0	195965.622499999	121950.144000001	0	0	150331.307000002	317004.7735	253879.785999999	0	359700.778	294633.6555
399	150582.271999999	227164.599500001	81976.2089999994	129955.721	105032.325499999	0	142589.495999998	74783.9740000008	91890.3070000003	131102.498499998	101008.966	92374.6880000001	147452.549999999	102647.405999999	76205.3050000005	231390.751000001	92848.0934999999	150483.798499999	126616.252499999	148371.780000002
400	1115267.67550001	177023.8975	136832.2995	129955.721	105032.325499999	139671.615000001	169378.1825	74783.9740000008	150367.334500002	131102.498499998	125135.377000001	140492.680000001	261160.457499999	106276.729	2182560.365	137356.4385	92848.0934999999	255865.788	231324.098	224314.5725
401	1008721.6615	130902.548999998	160288.151	155877.1525	154529.665999999	160941.881000001	65075.7669999984	121223.1045	415803.743000002	295678.416000001	282314.018499998	245260.919500001	197807.969	124166.552999999	947173.094499998	125946.425999999	336219.5725	404492.674499998	174197.525	181747.119
402	624608.039999998	158026.4995	199281.8065	280129.489	189526.3705	124595.8485	175691.998500001	183315.6595	214422.687	232595.329500001	66105.320000001	46266.7710000001	151825.758	134175.256000001	145459.955	241648.481	302986.077000002	88490.8075000012	204959.550000001	179863.242000002
403	129907.999999999	119140.3045	0	177452.688500001	100834.778499999	153103.557999999	197639.8005	120760.219500001	91288.4040000003	76285.1540000001	91071.7949999995	70559.9309999997	285744.545000002	148363.061	66127.4449999975	113866.294000002	245356.309000001	121289.721	70868.3039999997	93577.9245000012
404	1522806.7095	169608.8715	306358.656499998	231208.004000001	172656.420500001	257836.535	619747.306999999	289551.085499999	358356.350000001	132969.077	78716.8175000001	151037.611500001	228831.5875	139211.644	70955.0239999988	254758.813499999	153638.674999999	175967.212500001	131692.623	160469.516
405	560096.795499999	247386.479999999	51856.0949999989	54287.1500000011	100723.414999999	252964.863500001	172089.287499999	94732.2379999996	211180.6265	99562.4394999993	46497.0239999994	169041.4335	292959.670000001	172207.595999999	215472.459000003	75313.8694999992	308789.635000001	94386.3384999986	121075.920000001	145469.7845
406	0	0	2364.65250000006	0	0	8146.15400000001	0	0	0	8142.33750000006	10715.7264999999	1084541.3565	7570.38100000021	0	2359638.225	0	0	0	12560.02	1083.67350000001
