row ID	s1_BD6_01_51095.mzXML Peak area	s47_repeat_BB5_01_51298.mzXML Peak area	s44_BC5_01_51067.mzXML Peak area	s49_repeat_BB12_01_51305.mzXML Peak area	s52_BC9_01_51216.mzXML Peak area	s60_BE12_01_51130.mzXML Peak area	s57_BA12_01_51170.mzXML Peak area	s67b_BB6_01_51043.mzXML Peak area	s69_repeat_RD11_01_51500.mzXML Peak area	s72_BD4_01_51091.mzXML Peak area	s77_BB8_01_51188.mzXML Peak area	s74_repeat_BD12_01_51287.mzXML Peak area	s79_BE2_01_51111.mzXML Peak area	s82_BD10_01_51103.mzXML Peak area	s84_BB7_01_51046.mzXML Peak area	s86_BB11_01_51054.mzXML Peak area	s4_BD9_01_51101.mzXML Peak area	s7_BB6_01_51183.mzXML Peak area	s99_BB2_01_51035.mzXML Peak area	s102_BB8_01_51048.mzXML Peak area	s87_BG6_01_51489.mzXML Peak area	s90_BA10_01_51027.mzXML Peak area	s92_BE3_01_51113.mzXML Peak area	s94_BA4_01_51015.mzXML Peak area	s9_BB5_01_51041.mzXML Peak area	s12_BC6_01_51209.mzXML Peak area	s14_BB4_01_51039.mzXML Peak area	s17_BA6_01_51019.mzXML Peak area	s109_repeat_BC8_01_51291.mzXML Peak area	s112_repeat_BB9_01_51300.mzXML Peak area	s19_rerun_BC10_01_51138.mzXML Peak area	s22_BC4_01_51065.mzXML Peak area	s24_BD2_01_51087.mzXML Peak area	s27_BE5_01_51263.mzXML Peak area	s32_BB9_01_51050.mzXML Peak area	s29_BB4_01_51179.mzXML Peak area	s34_BA8_01_51023.mzXML Peak area	s37_BA5_01_51017.mzXML Peak area	s39_BD9_01_51246.mzXML Peak area	s42_BB3_01_51037.mzXML Peak area
167	5776.24050000017	18801.491	9587.63799999998	5061.46499999999	46154.3295000002	5847.95200000004	199941.2345	133676.015499999	19479.3575	10563.12	10205.2839999999	7176.608	13609.404	15715.0249999999	64464.9804999996	7351.55449999997	40270.099	39209.8834999998	21417.3994999998	5162.72000000014	202291.130999999	7285.70000000019	10675.7390000001	14109.3995	21041.2260000002	8908.83599999972	23531.6764999999	16445.9440000001	20927.2404999998	31437.5350000001	13739.6960000001	6652.02550000016	19164.6524999999	60108.5814999998	15642.9994999999	32193.9775	16261.6709999999	36474.4780000002	50728.8595	16965.3564999998
170	0	1142771.915	2255097.04999999	9925933.75149997	1787115.41649999	1261529.802	21674498.1210001	1745992.71650002	351.755999999999	3818632.05699998	1882008.518	328.3	0	2820622.852	1207217.91499998	1708454.24850001	294.097	3222160.28950002	288.551999999998	420.066500000003	473.671	2784922.12650001	4226108.494	3551849.31150002	5951300.25849999	1721219.419	7554848.71800001	240219.7345	258.962000000004	240.418499999998	268.878000000003	608902.444499997	2883536.91400002	726448.747000004	4002250.77549999	3121887.21799997	1884193.0045	5415317.44750002	2354898.22300001	3847896.56050001
171	0	1981135.8895	692759.6865	2166570.2915	412003.152	1148116.2915	18478557.5105	290729.4245	390.765	1706948.462	2186966.4235	204.3125	253.812000000002	1507867.61	201798.03	845972.9575	374.376000000001	546655.200499999	332.927999999999	0	2089.9295	420164.6725	1664238.3985	260539.398	2820590.15149999	1313742.8705	2377384.0205	166707.8755	338.962500000001	305.225999999997	218.353000000001	398517.9765	2245592.0005	3301945.85199999	1202168.3185	942793.493500001	178888.4715	394685.751	5579419.451	875597.412
172	0	113211.258	38722.349	466442.757000002	23609.5935	93845.7749999999	1402626.714	37505.5095000001	0	128072.5345	37034.6080000002	512.523999999999	0	112055.192	18915.0375	33059.5599999999	269.616000000001	48793.0379999998	168.507999999999	428.205999999999	0	53709.5205	95087.9570000002	33383.0230000002	131868.729	33888.8879999999	107498.028	19476.2895	517.1425	0	0	137653.391	88871.3819999999	87624.0020000004	46293.4545000001	56224.5835	55457.2565	81526.3819999997	101245.763999999	41071.5839999998
173	0	115379.9575	685521.926	2043218.80200001	616981.1605	310355.589	14713478.2145	524545.611000003	344.985	1241633.7235	627203.63	368.606	0	979714.887500001	362751.771499999	568097.3535	414.920000000001	1106309.85550001	0	273.963500000004	0	905530.585500005	1357775.9715	837559.709000006	2143548.65250001	610956.996000001	2632244.81500001	508922.105999999	212.744999999996	387.039999999995	0	200783.3725	1001377.7865	260715.8605	1325952.14799999	1009391.113	409451.383	1150128.4	886975.0795	1159193.23
174	515563.033	322728.946	18832.5975	4699.625	160555.993	258158.902	1001057.799	325409.2145	663848.328	326153.9155	266903.974	310132.711	295257.899	280571.0075	365263.818	417558.943	385130.136	353027.7035	251888.5395	165939.188	1524413.01	250008.335	272453.08	242576.0395	130990.822	106232.334	414734.2935	599142.945	387211.3195	550303.7945	638886.5205	278964.7135	399074.2635	621592.3105	221206.507	247936.0895	334209.989	450873.6715	311874.8005	412529.472
175	60447.8835000002	0	211.044000000003	0	183.456000000001	0	0	0	0	0	0	183.568000000001	234893.555	242944.163499999	0	0	0	206.451000000001	0	343.244999999999	596753.501999999	39185.8164999999	201.227999999999	0	148006.398	73166.8645	319851.031	278838.091000001	0	0	0	249.695999999999	358213.287499999	480769.539499998	217.588000000003	0	0	0	31886.6635	29234.9610000001
176	548091.194500006	98971.5624999997	75239.0795000001	47422.6205	9668.82299999993	11703.8770000001	323427.740000001	45283.8734999999	61089.4374999994	24036.2235000002	23024.2530000002	55389.0579999998	68412.8319999995	53628.0550000006	567554.660500004	574986.045500003	151595.956	103353.709999999	71563.4374999999	108417.678999999	265178.011499999	25920.8269999997	12079.2235	17511.3339999996	151931.056500001	137008.150000001	81008.5780000001	86473.3015000003	136169.2305	84071.9599999999	55208.1149999999	32672.534	170170.811999999	237459.596499999	26474.8890000002	37046.9955000002	40912.6779999998	101888.384500001	44130.4740000001	51330.8440000004
177	218906.406500001	114530.2835	77663.2909999998	93830.7374999997	16842.5320000001	19030.3935	160824.700999999	37388.7634999995	214757.347000001	115621.6885	41283.9775	112843.365499999	21168.6455000001	24126.0834999998	232333.804499996	164118.1315	195025.432500001	124672.437999999	117190.462999999	27655.1644999998	1129090.09049999	23774.2165000001	31666.5180000004	81829.962999999	75976.3599999992	77185.1380000007	14227.8814999998	7282.79199999995	49894.9704999997	88526.7135000007	142811.5115	127141.786499999	230584.822500001	253207.515500002	50349.8774999998	34422.956	34046.8985000002	103738.049	26303.6820000002	28762.4165000002
178	0	313750.183500001	76480.7944999999	180313.652500001	22093.8345000001	186795.7225	4831491.6685	37077.1905	0	156507.249	206733.225	0	166.923	155161.345	24939.81	83572.5680000002	169.023	45477.0045000001	0	0	301.208	52937.01	126677.539	31055.7885	305366.795499999	87810.67	203423.181	16835.5090000001	0	0	221.3325	54319.8189999998	398694.721999999	1054404.221	80382.1234999999	107491.524	51366.4785000001	65106.7895000002	623636.040500001	66430.9540000001
