CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
28	193	4	0.9802	-24.000
185	506	4	0.9805	2.017
331	362	4	0.9789	23.999
29	331	4	0.9789	-23.999
505	506	4	0.9783	0.000
55	57	4	1.0	-0.000
501	541	4	0.9848	-2.015
501	505	4	0.9767	0.001
541	697	4	0.9806	-26.017
331	406	4	0.9786	0.000
193	362	4	0.9789	24.000
554	555	4	1.0	-0.000
217	697	4	0.9784	-0.001
331	697	4	0.9779	23.998
185	555	4	0.9808	2.016
406	697	4	0.9767	23.998
216	362	4	0.9741	-0.000
546	756	4	0.9635	-1.002
331	755	4	0.9769	23.999
217	362	4	1.0	0.000
33	755	4	0.9765	0.000
324	756	4	0.9665	0.001
120	616	4	0.9761	-154.099
33	501	4	0.9756	28.031
77	649	5	0.6535	14.437
6	77	5	0.6517	-10.990
5	6	5	0.8971	0.000
72	335	5	0.6859	-259.944
6	649	5	0.9152	3.446
77	514	5	0.7154	-390.445
5	77	5	0.6542	-10.990
77	335	5	0.6525	-259.944
5	649	5	0.9108	3.446
72	77	5	0.9253	0.000
72	514	5	0.7272	-390.445
255	273	6	0.8995	-0.000
39	273	6	0.9036	-0.000
192	397	6	0.8869	-0.000
255	553	6	0.8804	56.026
192	552	6	0.9089	-0.000
37	273	6	0.8886	-0.000
255	754	6	0.8955	56.026
396	551	6	0.9183	0.000
39	706	6	0.8987	-0.000
44	552	6	0.9267	-0.000
44	396	6	0.868	-56.026
37	39	6	0.9099	0.000
37	706	6	0.9151	-0.000
39	767	6	0.8897	-0.000
397	709	6	0.9304	0.000
44	192	6	0.8882	0.000
396	767	6	0.8953	0.000
754	761	6	0.8837	-0.000
553	761	6	0.9012	-0.000
678	767	6	0.8978	0.000
192	761	6	0.8843	-0.000
255	552	6	0.8804	56.026
37	551	6	0.9075	0.000
273	706	6	0.8957	-0.000
39	552	6	0.8598	56.026
255	551	6	0.9368	0.000
255	706	6	0.9101	-0.000
192	754	6	0.8954	0.000
396	678	6	0.9082	0.000
553	709	6	0.9001	-0.000
37	767	6	0.8676	-0.000
44	761	6	0.9045	-0.000
552	761	6	0.9012	-0.000
397	761	6	0.919	0.000
37	255	6	0.9113	0.000
396	706	6	0.9055	0.000
39	551	6	0.9241	0.000
273	767	6	0.9037	-0.000
551	678	6	0.949	-0.000
44	553	6	0.9267	-0.000
706	767	6	0.8827	0.000
709	761	6	0.9068	-0.000
44	255	6	0.8937	-56.026
273	678	6	0.8868	-0.000
552	754	6	0.8954	0.000
192	709	6	0.8645	-0.000
39	678	6	0.9104	-0.000
396	553	6	0.868	56.026
551	767	6	0.8986	-0.000
255	396	6	0.9425	-0.000
39	396	6	0.9316	-0.000
192	553	6	0.9089	-0.000
551	706	6	0.9384	-0.000
37	396	6	0.9154	-0.000
44	709	6	0.8987	-0.000
552	553	6	1.0	0.000
552	709	6	0.9001	0.000
39	44	6	0.882	56.026
273	396	6	0.8919	-0.000
255	678	6	0.9209	-0.000
397	552	6	0.9097	0.000
396	552	6	0.868	56.026
44	397	6	0.9462	-0.000
273	397	6	0.8671	56.026
273	551	6	0.8978	0.000
39	255	6	0.9477	0.000
39	553	6	0.8598	56.026
44	754	6	0.9	0.000
678	706	6	0.9052	0.000
553	754	6	0.8954	0.000
37	678	6	0.9118	-0.000
397	754	6	0.9018	0.000
397	553	6	0.9097	0.000
413	700	7	1.0	0.000
700	724	7	1.0	0.000
413	724	7	1.0	0.000
535	623	8	0.7008	-0.000
211	231	8	0.8083	36.021
214	623	8	0.6744	18.010
176	661	8	0.8891	-49.982
176	535	8	0.6797	36.021
177	731	8	0.9315	18.010
518	535	8	0.7917	0.000
214	626	8	0.7298	0.000
181	211	8	0.8761	-18.010
