CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ	id	max_chemdir	max_comparison	sign_chemdir	CLUSTERID1_chemdir	CLUSTERID2_chemdir
106	220	38	0.9251	-28.030	306	0.12573199993780118	Pre-HV:Post-HV	1.0	220	106
106	275	38	0.9275	-0.002	307	0.3283062494699675	Pre-HV:Post-HV	-1.0	106	275
106	721	38	0.9377	-0.000	308	0.04466689099509204	Pre-HV:Post-HV	1.0	721	106
107	441	2	0.878	-0.000	309	0.26442435732006336	Pre-HV:Post-HV	-1.0	107	441
108	110	38	1.0	0.000	310	0.07842502224008549	Pre-HV:Post-HV	1.0	110	108
108	113	38	0.9493	0.000	311	0.10698808621790055	Pre-HV:Post-HV	1.0	113	108
108	222	38	0.9453	-28.030	312	0.08744301175999115	Pre-HV:Post-HV	-1.0	108	222
108	728	38	0.9388	15.995	313	0.02209015681220226	Pre-HV:Post-HV	1.0	728	108
109	446	2	0.887	56.026	314	0.0456330448102262	Pre-HV:Post-HV	-1.0	109	446
110	113	38	0.9493	0.000	315	0.028563063977815085	Pre-HV:Post-HV	1.0	113	110
110	222	38	0.9453	-28.030	316	0.16586803400007666	Pre-HV:Post-HV	-1.0	110	222
110	728	38	0.9388	15.995	317	0.056334865427883185	Pre-HV:Post-HV	-1.0	110	728
112	187	38	0.9275	-0.002	318	0.43443264296009176	Pre-HV:Post-HV	-1.0	112	187
112	503	38	0.9293	28.031	319	0.5426688455985498	Pre-HV:Post-HV	-1.0	112	503
112	582	38	0.9257	-28.028	320	0.07316055265792587	Pre-HV:Post-HV	1.0	582	112
112	721	38	0.932	-0.000	321	0.00354562069108273	Pre-HV:Post-HV	1.0	721	112
113	721	38	0.9478	-0.001	322	0.1842517397462754	Pre-HV:Post-HV	-1.0	113	721
114	758	2	0.8845	-0.001	323	0.241755073999479	Pre-HV:Post-HV	-1.0	114	758
116	129	15	0.7654	0.000	324	0.107620582378559	Pre-HV:Post-HV	1.0	129	116
117	692	50	0.7565	-0.001	325	0.18205113127096695	Pre-HV:Post-HV	-1.0	117	692
120	167	4	0.987	-28.031	326	0.052483323984838064	Pre-HV:Post-HV	-1.0	120	167
120	616	4	0.9761	-154.099	327	0.1165397964561555	Pre-HV:Post-HV	-1.0	120	616
124	210	54	0.8135	0.000	328	0.006889612682234383	Pre-HV:Post-HV	1.0	210	124
124	481	54	0.8443	-0.000	329	0.05983488086671904	Pre-HV:Post-HV	1.0	481	124
126	317	2	0.8987	0.000	330	0.2554510814594463	Pre-HV:Post-HV	-1.0	126	317
126	473	2	0.8803	2.014	331	0.03224396791627997	Pre-HV:Post-HV	1.0	473	126
132	469	2	0.8869	56.026	332	0.05335853397492662	Pre-HV:Post-HV	1.0	469	132
132	472	2	0.8869	56.026	333	0.1656721983726805	Pre-HV:Post-HV	1.0	472	132
132	475	2	0.8885	58.040	334	0.00794389703676814	Pre-HV:Post-HV	-1.0	132	475
132	478	2	0.8976	-0.001	335	0.057440020985998666	Pre-HV:Post-HV	1.0	478	132
132	479	2	0.9081	-0.001	336	0.09858998998532435	Pre-HV:Post-HV	1.0	479	132
132	482	2	0.9049	-0.001	337	0.11391741616595313	Pre-HV:Post-HV	1.0	482	132
132	581	2	0.8918	-0.000	338	0.10303647373425469	Pre-HV:Post-HV	-1.0	132	581
132	774	2	0.9028	-0.000	339	0.022615579270390207	Pre-HV:Post-HV	1.0	774	132
133	479	2	0.8845	-15.999	340	0.2372706351198855	Pre-HV:Post-HV	1.0	479	133
133	483	2	0.8954	-0.001	341	0.1309245164258783	Pre-HV:Post-HV	1.0	483	133
133	677	2	0.8874	-0.001	342	0.3340459339894049	Pre-HV:Post-HV	1.0	677	133
134	251	57	0.867	0.000	343	0.17309204948855814	Pre-HV:Post-HV	1.0	251	134
137	340	29	0.9272	0.002	344	0.13258601251306487	Pre-HV:Post-HV	-1.0	137	340
137	528	29	0.7279	-12.001	345	0.7251628613868345	Pre-HV:Post-HV	-1.0	137	528
137	532	29	0.8157	-28.030	346	0.03363812157167568	Pre-HV:Post-HV	-1.0	137	532
137	533	29	0.8378	-14.014	347	0.010232560831422799	Pre-HV:Post-HV	1.0	533	137
140	193	4	0.9747	-2.015	348	0.31098463459952996	Pre-HV:Post-HV	1.0	193	140
140	331	4	0.9747	-2.014	349	0.36439804263604225	Pre-HV:Post-HV	-1.0	140	331
141	248	59	1.0	-0.000	350	0.9524093177962997	Pre-HV:Post-HV	-1.0	141	248
144	615	1	0.9814	-24.000	351	0.07798304858762548	Pre-HV:Post-HV	-1.0	144	615
144	617	1	0.9817	28.032	352	0.15999231258922164	Pre-HV:Post-HV	-1.0	144	617
144	652	1	0.9118	28.032	353	0.16178010170250898	Pre-HV:Post-HV	-1.0	144	652
144	657	1	0.9132	4.032	354	0.02875296453157418	Pre-HV:Post-HV	1.0	657	144
165	584	25	0.8958	3.087	355	0.34311625108334315	Pre-HV:Post-HV	1.0	584	165
167	616	4	0.9757	-126.068	356	0.06405647247131753	Pre-HV:Post-HV	-1.0	167	616
170	172	12	0.6967	14.016	357	0.02625476256434427	Pre-HV:Post-HV	1.0	172	170
170	297	12	0.7309	32.026	358	0.07369910166093714	Pre-HV:Post-HV	-1.0	170	297
170	357	12	0.8184	-148.037	359	0.5046042798546606	Pre-HV:Post-HV	-1.0	170	357
170	377	12	0.767	-484.248	360	0.7452317125422968	Pre-HV:Post-HV	-1.0	170	377
170	378	12	0.6902	217.555	361	0.06449276598067936	Pre-HV:Post-HV	1.0	378	170
170	602	12	0.6835	170.596	362	0.05580727142193405	Pre-HV:Post-HV	-1.0	170	602
170	613	12	0.7351	142.074	363	0.00997866620075727	Pre-HV:Post-HV	-1.0	170	613
170	620	12	0.6711	25.979	364	0.040029788174613	Pre-HV:Post-HV	1.0	620	170
170	628	12	0.6543	142.074	365	0.05156939421921893	Pre-HV:Post-HV	1.0	628	170
171	173	12	0.7205	-14.016	366	0.14781784827843075	Pre-HV:Post-HV	-1.0	171	173
171	191	12	0.853	32.026	367	0.05811030379557817	Pre-HV:Post-HV	1.0	191	171
171	334	12	0.8287	28.031	368	0.32054309595518987	Pre-HV:Post-HV	-1.0	171	334
171	620	12	0.9019	43.990	369	0.008879745025277642	Pre-HV:Post-HV	-1.0	171	620
171	753	12	0.7506	-148.037	370	0.2556226119332444	Pre-HV:Post-HV	-1.0	171	753
172	297	12	0.7083	18.010	371	0.09995386422528138	Pre-HV:Post-HV	-1.0	172	297
172	357	12	0.675	-162.053	372	0.5308590424190047	Pre-HV:Post-HV	-1.0	172	357
172	597	12	0.8725	43.990	373	0.047803643299214126	Pre-HV:Post-HV	1.0	597	172
173	334	12	0.7728	42.047	374	0.17272524767675915	Pre-HV:Post-HV	-1.0	173	334
173	620	12	0.8457	58.005	375	0.1389381032531531	Pre-HV:Post-HV	1.0	620	173
173	653	12	0.6514	-148.036	376	0.002551288087873839	Pre-HV:Post-HV	-1.0	173	653
176	181	8	0.8193	18.011	377	0.09959567030282117	Pre-HV:Post-HV	1.0	181	176
176	211	8	0.9425	0.000	378	0.34648722378109925	Pre-HV:Post-HV	1.0	211	176
